City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Kieta,PG,85.89,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
379,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
384,Panzhihua,CN,86.14,overcast clouds,26.5851,101.7128,Electric Power Hotel
398,Itarema,BR,76.5,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
399,Dabakala,CI,76.95,overcast clouds,8.3667,-4.4333,Hôtel Campement
400,Tiruvalla,IN,88.77,clear sky,9.3833,76.5667,Edasseriathu Homestays Tiruvalla
403,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
404,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
407,Raga,SS,76.41,scattered clouds,8.4596,25.678,
410,Celestun,MX,77.95,scattered clouds,20.8667,-90.4,Posada Lilia
411,Padang,ID,89.65,overcast clouds,-0.9492,100.3543,Mercure Padang
417,Loanda,AO,76.66,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
421,Kismayo,SO,81.59,few clouds,-0.3582,42.5454,Agan-Hotel
423,Macapa,BR,78.78,broken clouds,0.0389,-51.0664,Atalanta Hotel
424,Wanning,CN,84.88,light rain,18.8003,110.3967,Paradise Hotel
431,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
432,Ambilobe,MG,78.98,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
434,Saint-Joseph,RE,80.1,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
435,Noumea,NC,82.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
439,Vanimo,PG,85.96,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
443,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
447,San Miguel,SV,81.23,scattered clouds,13.4833,-88.1833,Excalibur
448,Srandakan,ID,86.07,overcast clouds,-7.9386,110.2506,Puri Brata
453,Puerto Escondido,MX,79.38,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
455,Lorengau,PG,85.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
458,Epe,NG,79.56,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
460,Vaitape,PF,83.17,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
461,Banda Aceh,ID,86.05,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
462,Axim,GH,78.03,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
463,Nha Trang,VN,86.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
472,Kefamenanu,ID,86.81,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
473,Minuri,PH,89.11,scattered clouds,16.535,121.8574,
476,Tutoia,BR,76.33,overcast clouds,-2.7619,-42.2744,Pousada Guará's
480,Nalvo,PH,88.43,few clouds,16.8096,120.5108,SABALO RESIDENCE
488,Mitsamiouli,KM,80.89,light rain,-11.3847,43.2844,Foyer ADM
489,Mormugao,IN,83.46,few clouds,15.4,73.8,Coconut Creek Resort
496,Zhuhai,CN,85.86,mist,22.2769,113.5678,珠海粤财假日酒店
499,Tari,NG,80.4,overcast clouds,12.4086,4.4914,
502,Banjar,ID,86.2,overcast clouds,-8.19,114.9675,The Hamsa Resort
503,Kulhudhuffushi,MV,83.1,scattered clouds,6.6221,73.07,Haajy Guest House 1
509,Gaoual,GN,76.41,overcast clouds,11.75,-13.2,Hotel koliba
519,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
524,Norsup,VU,78.89,moderate rain,-16.0667,167.3833,Nabelchel Bungalows
528,Daru,PG,85.95,broken clouds,-9.0763,143.2092,Daru Lodge
532,Villa Del Rosario,CO,75.58,haze,7.8339,-72.4742,Hotel Villas de San Diego
535,Sumbe,AO,77.61,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
539,Kloulklubed,PW,83.62,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
540,Tabou,CI,77.09,broken clouds,4.423,-7.3528,hotêl doufoulougou
544,Nishihara,JP,76.66,broken clouds,26.1842,127.7558,Minshuku Agaihama
572,Kannangad,IN,86.36,scattered clouds,12.3081,75.1063,Hotel Landmark
574,Innisfail,AU,81.9,broken clouds,-17.5333,146.0333,Moondarra Motel
579,Swedru,GH,75.38,overcast clouds,5.5371,-0.6998,Emma-Ike Guesthouse
583,Ligayan,PH,79.32,light rain,4.6533,119.4706,
585,Tiruchchendur,IN,89.89,clear sky,8.4833,78.1167,Hotel Udhayam International
588,Gibgos,PH,83.34,overcast clouds,13.859,123.7675,
589,Kathmandu,NP,77.22,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
592,Merauke,ID,83.93,overcast clouds,-8.4667,140.3333,
595,Labuhan,ID,86.0,overcast clouds,-6.8844,112.2051,DoubleFAG
597,Hobyo,SO,80.87,clear sky,5.3505,48.5268,Iftin hotel hobyo
598,Ternate,ID,83.64,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
603,Biloela,AU,89.24,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
605,Port Macquarie,AU,78.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
606,Itoman,JP,77.38,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
609,Singaraja,ID,85.51,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
610,Tirumala,IN,82.58,scattered clouds,13.6833,79.35,Anjanadri Nagar Cottages
613,Tha Bo,TH,86.99,scattered clouds,17.85,102.5814,บ้านพักริมโขง รีสอร์ท
614,Massaguet,TD,76.3,broken clouds,12.4755,15.4365,Alwatane
615,Port Pirie,AU,77.09,few clouds,-33.1833,138.0167,John Pirie Motor Inn
619,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
621,Alice Town,BS,75.56,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
622,Acajutla,SV,80.49,scattered clouds,13.5928,-89.8275,Laureles
623,Ciudad Bolivar,VE,76.03,broken clouds,8.1222,-63.5497,Hotel Edi
624,Tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
626,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
629,Charters Towers,AU,89.22,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
630,Bowen,AU,83.97,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
632,Nicoya,CR,76.53,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
634,Eyl,SO,79.0,clear sky,7.9803,49.8164,Amiin Hotel
635,Kavaratti,IN,81.84,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
636,Sarangani,PH,82.51,moderate rain,5.4033,125.4636,Ballistic Islet
643,Pemalang,ID,84.54,light rain,-6.9,109.3667,The Winner Hotel Pemalang
648,Amahai,ID,83.75,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
650,Bagotville,AU,78.85,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
660,Boa Vista,BR,77.29,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
664,Qeshm,IR,76.87,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
