City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Port Blair,IN,2022-03-20 04:11:11,11.6667,92.75,80.08,79,100,7.23
185,Kiunga,PG,2022-03-20 04:14:21,-6.1219,141.2906,94.78,46,74,3.09
186,College,US,2022-03-20 04:14:22,64.8569,-147.8028,21.15,64,75,12.66
187,Nikolayevsk-Na-Amure,RU,2022-03-20 04:14:23,53.1406,140.73,23.83,80,99,7.02
188,Jinchang,CN,2022-03-20 04:14:23,38.4953,102.1739,43.45,25,100,8.72
189,Punahana,IN,2022-03-20 04:14:24,27.8667,77.2,90.32,15,0,5.26
190,Markova,UA,2022-03-20 04:14:24,48.6758,24.4138,22.69,64,1,3.18
191,Lensk,RU,2022-03-20 04:14:25,60.7253,114.9278,21.65,89,100,13.24
192,Port Augusta,AU,2022-03-20 04:14:25,-32.5,137.7667,92.25,31,100,3.09
193,Khromtau,KZ,2022-03-20 04:14:26,50.2503,58.4347,3.52,83,2,8.41
194,Craig,US,2022-03-20 04:14:26,40.5153,-107.5464,40.62,69,0,0.0
195,Oranjemund,NA,2022-03-20 04:14:27,-28.55,16.4333,72.05,67,0,1.23
196,Mareeba,AU,2022-03-20 04:14:28,-17.0,145.4333,87.44,69,92,5.26
197,Pacific Grove,US,2022-03-20 04:14:28,36.6177,-121.9166,53.71,88,100,15.01
198,Andenes,NO,2022-03-20 04:14:29,69.3143,16.1194,44.58,81,100,33.38
199,Semey,KZ,2022-03-20 04:14:29,50.4111,80.2275,-0.18,85,75,6.71
200,Along,IN,2022-03-20 04:14:30,28.1667,94.7667,87.48,27,78,1.77
201,Port Moresby,PG,2022-03-20 04:14:31,-9.4431,147.1797,85.89,68,58,7.4
202,Verkhnevilyuysk,RU,2022-03-20 04:14:33,63.4453,120.3167,15.49,88,100,10.51
203,Narsaq,GL,2022-03-20 04:14:34,60.9167,-46.05,14.22,79,30,5.57
204,Tumen,CN,2022-03-20 04:14:34,42.9661,129.8425,35.85,40,94,8.21
205,Gravdal,NO,2022-03-20 04:14:35,68.1214,13.5031,42.96,90,97,29.93
206,Jalingo,NG,2022-03-20 04:14:35,8.8833,11.3667,74.84,14,9,2.57
207,Launceston,AU,2022-03-20 04:14:36,-41.45,147.1667,75.15,55,100,5.75
208,Muhos,FI,2022-03-20 04:14:37,64.808,25.9931,37.89,78,25,8.7
209,Santa Luzia,BR,2022-03-20 04:13:07,-19.7697,-43.8514,70.7,88,70,2.98
210,Vavatenina,MG,2022-03-20 04:14:37,-17.4667,49.2,72.36,98,100,3.71
211,Henties Bay,NA,2022-03-20 04:14:38,-22.116,14.2845,65.97,84,0,5.64
212,Suntar,RU,2022-03-20 04:14:38,62.1444,117.6319,21.63,89,100,10.2
213,Longyearbyen,SJ,2022-03-20 04:14:39,78.2186,15.6401,22.84,63,20,10.36
214,Sambava,MG,2022-03-20 04:14:39,-14.2667,50.1667,77.5,88,100,5.41
215,Najran,SA,2022-03-20 04:14:40,17.4924,44.1277,62.76,23,4,2.19
216,Kano,NG,2022-03-20 04:14:40,12.0001,8.5167,73.15,8,38,5.23
217,Hirara,JP,2022-03-20 04:14:41,24.8,125.2833,68.72,73,10,11.5
218,Yulara,AU,2022-03-20 04:14:41,-25.2406,130.9889,98.44,13,0,8.05
219,Lawton,US,2022-03-20 04:13:25,34.6087,-98.3903,56.07,33,0,8.05
220,Yar-Sale,RU,2022-03-20 04:14:42,66.8333,70.8333,17.64,90,41,12.55
221,Burla,IN,2022-03-20 04:14:42,21.5,83.8667,89.15,29,19,2.91
222,Tuktoyaktuk,CA,2022-03-20 04:14:43,69.4541,-133.0374,-22.41,100,53,5.82
223,Arraial Do Cabo,BR,2022-03-20 04:14:43,-22.9661,-42.0278,76.3,89,28,16.82
224,Phibun Mangsahan,TH,2022-03-20 04:15:44,15.2447,105.2291,87.1,49,68,6.71
225,Veseloyarsk,RU,2022-03-20 04:15:05,51.2836,81.1056,10.65,94,100,6.29
226,Balaipungut,ID,2022-03-20 04:15:45,1.05,101.2833,89.17,57,83,4.7
227,Saint-Philippe,RE,2022-03-20 04:15:45,-21.3585,55.7679,79.11,90,88,12.17
228,Akyab,MM,2022-03-20 04:15:46,20.15,92.9,83.7,44,23,5.79
229,Weihe,CN,2022-03-20 04:15:46,32.9952,105.3247,50.5,71,100,6.67
230,Vankleek Hill,CA,2022-03-20 04:15:47,45.5168,-74.6493,35.38,99,99,6.2
231,Cayenne,GF,2022-03-20 04:15:48,4.9333,-52.3333,77.09,1,100,0.0
232,Tutoia,BR,2022-03-20 04:15:48,-2.7619,-42.2744,76.3,85,100,2.35
233,Batagay,RU,2022-03-20 04:15:49,67.6333,134.6333,9.3,72,6,6.78
234,Aksarka,RU,2022-03-20 04:15:49,66.5606,67.7975,19.9,92,10,10.16
235,Fortuna,US,2022-03-20 04:15:50,40.5982,-124.1573,48.65,75,75,13.8
236,Mahebourg,MU,2022-03-20 04:15:51,-20.4081,57.7,84.25,94,75,0.0
237,Chapais,CA,2022-03-20 04:15:51,49.7834,-74.8492,29.98,90,100,9.86
238,Papara,BR,2022-03-20 04:15:52,-3.9839,-38.7273,77.4,90,64,2.66
239,Kutum,SD,2022-03-20 04:15:52,14.2,24.6667,58.93,12,16,5.35
240,Rovaniemi,FI,2022-03-20 04:15:53,66.5,25.7167,36.81,80,0,12.66
241,Lewiston,US,2022-03-20 04:14:36,44.1003,-70.2148,40.71,98,100,11.5
242,Moussoro,TD,2022-03-20 04:15:54,13.6408,16.4901,71.4,5,13,10.11
243,Dindigul,IN,2022-03-20 04:15:54,10.35,77.95,88.45,42,25,3.69
244,Ardatov,RU,2022-03-20 04:15:55,55.2421,43.097,24.48,98,73,7.74
245,Acajutla,SV,2022-03-20 04:15:55,13.5928,-89.8275,81.28,75,86,5.12
246,Camacha,PT,2022-03-20 04:15:56,33.0833,-16.3333,54.82,72,20,16.11
247,Louga,RU,2022-03-20 04:15:57,58.7372,29.8453,31.24,81,7,9.1
248,Crowley,US,2022-03-20 04:15:57,30.2141,-92.3746,52.05,79,0,6.04
249,Ocos,GT,2022-03-20 04:15:58,14.5094,-92.1933,77.18,68,5,1.39
250,Marana,US,2022-03-20 04:13:34,32.4367,-111.2254,70.7,15,0,8.05
251,Gamba,GA,2022-03-20 04:15:58,-2.65,10.0,77.49,87,78,5.59
252,Nhulunbuy,AU,2022-03-20 04:15:59,-12.2333,136.7667,90.21,66,75,11.5
253,Iralaya,HN,2022-03-20 04:15:59,15.0,-83.2333,78.3,82,96,13.62
254,Alice Springs,AU,2022-03-20 04:16:00,-23.7,133.8833,92.75,17,0,16.11
255,Sioux Lookout,CA,2022-03-20 04:11:19,50.1001,-91.917,31.33,95,100,3.42
256,Cienfuegos,CU,2022-03-20 04:16:01,22.1461,-80.4356,74.73,84,5,6.67
257,Lake Havasu City,US,2022-03-20 04:11:20,34.4839,-114.3224,79.41,12,20,14.97
258,Miri,MY,2022-03-20 04:16:01,4.4148,114.0089,87.94,70,40,4.61
259,Kongolo,CD,2022-03-20 04:16:02,-5.3833,27.0,68.0,97,100,3.69
260,Saquena,PE,2022-03-20 04:16:03,-4.6667,-73.5167,72.91,98,100,1.25
261,Buraydah,SA,2022-03-20 04:16:03,26.326,43.975,59.45,22,0,9.98
262,Saskylakh,RU,2022-03-20 04:16:04,71.9167,114.0833,8.78,93,100,2.33
263,Cervo,ES,2022-03-20 04:16:04,43.6702,-7.4101,52.48,74,59,3.78
264,Maragogi,BR,2022-03-20 04:16:05,-9.0122,-35.2225,77.63,83,9,4.23
265,Tarko-Sale,RU,2022-03-20 04:16:06,64.9225,77.785,24.28,95,76,12.33
266,Grand Gaube,MU,2022-03-20 04:16:06,-20.0064,57.6608,84.38,81,31,3.29
267,Seymchan,RU,2022-03-20 04:16:07,62.8833,152.4333,12.09,75,100,2.1
268,Harnai,PK,2022-03-20 04:16:07,30.1005,67.9374,78.67,14,0,3.96
269,Loukhi,RU,2022-03-20 04:16:08,66.0764,33.0381,38.61,91,92,13.09
270,Bourail,NC,2022-03-20 04:16:08,-21.5667,165.4833,77.94,84,100,7.14
271,Kunzell,DE,2022-03-20 04:17:09,50.5442,9.7179,35.87,69,58,13.18
272,La Chapelle-Sur-Erdre,FR,2022-03-20 04:17:10,47.2958,-1.5531,49.86,82,100,4.61
273,Irbeyskoye,RU,2022-03-20 04:17:10,55.6428,95.4522,23.29,80,100,14.63
274,Jumla,NP,2022-03-20 04:17:11,29.2747,82.1838,65.5,23,43,4.94
275,Solnechnyy,RU,2022-03-20 04:17:11,50.7214,136.6319,24.19,85,97,5.21
276,Monselice,IT,2022-03-20 04:17:12,45.2424,11.749,42.93,58,0,7.43
277,Storforshei,NO,2022-03-20 04:17:13,66.4043,14.5233,38.66,99,100,5.06
278,Comodoro Rivadavia,AR,2022-03-20 04:12:46,-45.8667,-67.5,51.66,62,0,12.66
279,Kaeo,NZ,2022-03-20 04:17:13,-35.1,173.7833,68.32,91,100,17.98
280,San Patricio,US,2022-03-20 04:17:14,28.017,-97.5169,63.84,59,0,7.05
281,Chifeng,CN,2022-03-20 04:17:15,42.2683,118.9636,34.12,54,95,8.97
